char,hskLevels,pinyin,hanViet,meaningShortVi,radicalStatus,radicalForm,radicalNameVi,strokeCount,formationTypeVi,formationStatus,componentCount,relatedWordCount,sentenceCount,pdfCandidatePages,qualityStatus,missing
当,2,dāng,đương,"trở thành, là, làm việc",verified,田,Bộ Điền,,,not-available,2,11,12,,PASS,"hasStrokeCount,hasFormationType,hasPdfCandidate"
往,2,wǎng,Vãng,"đến, hướng tới",verified,彳,Bộ Xích,8,hình thanh,source-backed,3,7,12,,PASS,hasPdfCandidate
心,"2,3",xīn,Tâm,"trái tim, tâm trí",verified,心,Bộ Tâm,4,,not-available,0,20,12,,PASS,"hasComponents,hasFormationType,hasPdfCandidate"
忍,2,rěn,Nhẫn,chịu đựng,verified,心,Bộ Tâm,7,hình thanh,source-backed,2,6,3,461,PASS,
急,"2,3",jí,Cấp,khẩn cấp,verified,心,Bộ Tâm,9,hình thanh,source-backed,2,7,12,,PASS,hasPdfCandidate
怪,2,guài,,khá là,verified,忄,Bộ Tâm,8,hình thanh,source-backed,2,7,10,,PASS,"hasHanViet,hasPdfCandidate"
愿,2,yuàn,Nguyện,"ước, nguyện",verified,心,Bộ Tâm,14,hình thanh,source-backed,2,8,12,,PASS,hasPdfCandidate
成,2,chéng,Thành,trở thành,verified,戈,Bộ Qua,6,hình thanh,source-backed,2,17,12,624,PASS,
或,"2,3",huò,Hoặc,hoặc,verified,口,Bộ Khẩu,8,,not-available,2,6,0,276,PARTIAL,"hasFormationType,hasSentences"
戴,2,dài,,đeo,verified,戈,Bộ Qua,17,hình thanh,source-backed,3,6,6,,PASS,"hasHanViet,hasPdfCandidate"
所,"2,3",suǒ,Sỡ,cơ sở,verified,斤,Bộ Cân,8,hình thanh,source-backed,2,10,12,575,PASS,
扔,2,rēng,Nẫy,ném,verified,扌,Bộ Thủ,7,hình thanh,source-backed,2,3,2,,PASS,hasPdfCandidate
扶,2,fú,Phù,hỗ trợ,verified,扌,Bộ Thủ,7,hình thanh,source-backed,2,6,4,,PASS,hasPdfCandidate
抢,2,qiǎng,,cướp,verified,扌,Bộ Thủ,11,hình thanh,source-backed,2,6,4,,PASS,"hasHanViet,hasPdfCandidate"
报,"2,3",bào,Báo,báo,verified,扌,Bộ Thủ,7,,not-available,3,11,12,,PASS,"hasFormationType,hasPdfCandidate"
抱,2,bào,Bão,ôm,verified,扌,Bộ Thủ,9,hình thanh,source-backed,2,6,4,32,PASS,
拉,2,lā,Lấp,kéo,verified,扌,Bộ Thủ,,hình thanh,source-backed,2,8,6,,PASS,"hasStrokeCount,hasPdfCandidate"
拐,2,guǎi,Quảy / Quái / Quải / Quầy,khập khiễng,verified,扌,Bộ Thủ,9,,not-available,0,6,0,,PARTIAL,"hasComponents,hasFormationType,hasSentences,hasPdfCandidate"
拔,2,bá,Bạt,"kéo ra, nhổ ra",verified,扌,Bộ Thủ,11,hình thanh,source-backed,2,6,7,,PASS,hasPdfCandidate
拳,2,quán,Quyền,nắm đấm,verified,手,Bộ Thủ,10,hình thanh,source-backed,2,7,6,,PASS,hasPdfCandidate
拼,2,pīn,Phanh,ghép,verified,扌,Bộ Thủ,10,hình thanh,source-backed,2,6,6,,PASS,hasPdfCandidate
拾,2,shí,Thập,nhặt lên,verified,扌,Bộ Thủ,9,hình thanh,source-backed,2,6,4,642,PASS,
